# Popular family names and thier frequencies of Korean people
# retrieved November 28 2023
# from https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1IN15SD
# filtered, [COUNT] >= 1000
#
# data format: [FAMILY NAME],[COUNT],[CHARACTER]
#
# Each line shows [COUNT] Korean people lived in Korea in 2015
#   who have family name of [FAMILY NAME]
#   which can be written as [CHARACTER]
# The same [FAMILY NAME] may appear several times with different [CHARACTER]
#
# sum of [COUNT] = 49,582,147
# Please refer the link for further information
#

김,10689959,金
이,7306828,李
박,4192074,朴
최,2333927,崔
정,2151879,鄭
강,1176847,姜
조,1055567,趙
윤,1020547,尹
장,992721,張
임,823921,林
한,773404,韓
오,763281,吳
서,751704,徐
신,741081,申
권,705941,權
황,697171,黃
안,685639,安
송,683494,宋
전,559110,全
홍,558853,洪
유,478990,柳
고,471396,高
문,464040,文
양,460600,梁
손,457303,孫
배,400641,裵
조,398260,曺
백,381986,白
허,326770,許
유,302511,劉
남,275648,南
심,271749,沈
노,256229,盧
정,243803,丁
하,230481,河
곽,203188,郭
성,199124,成
차,194782,車
주,194766,朱
우,194713,禹
구,193080,具
신,192877,辛
임,191261,任
전,186469,田
민,171740,閔
유,167927,兪
류,163703,柳
나,160946,羅
진,157599,陳
지,153491,池
엄,144425,嚴
채,131557,蔡
원,129522,元
천,121780,千
방,94831,方
공,91869,孔
강,91625,康
현,88824,玄
함,80659,咸
변,78156,卞
염,69387,廉
양,69101,楊
변,60633,邊
여,60522,呂
추,60483,秋
노,58698,魯
도,56850,都
소,52427,蘇
신,51865,愼
석,49203,石
선,42733,宣
설,42646,薛
마,38949,馬
길,38173,吉
주,37240,周
연,34766,延
방,33520,房
위,31342,魏
표,30743,表
명,29110,明
기,28829,奇
반,28062,潘
나,25960,羅
왕,25565,王
금,25432,琴
옥,25107,玉
육,23455,陸
인,22363,印
맹,22028,孟
제,21976,諸
모,21534,牟
장,21508,蔣
남궁,21308,南宮
탁,21099,卓
국,20547,鞠
여,20134,余
진,19301,秦
어,18849,魚
은,16894,殷
편,16689,片
구,15382,丘
용,15276,龍
유,13868,庾
예,13568,芮
경,13012,慶
봉,12927,奉
정,11683,程
석,11355,昔
사,10730,史
부,10536,夫
황보,10383,皇甫
가,9936,賈
복,9538,卜
태,9063,太
목,8848,睦
진,7566,晋
형,7239,邢
계,6636,桂
최,6582,催
피,6578,皮
두,6428,杜
지,6070,智
감,6024,甘
장,5764,章
제갈,5655,諸葛
음,5604,陰
빈,5593,賓
동,5462,董
온,5418,溫
사공,4476,司空
호,4340,扈
경,3923,景
범,3826,范
전,3678,錢
선우,3588,鮮于
좌,3378,左
설,2937,偰
팽,2935,彭
승,2619,承
간,2520,簡
하,2475,夏
상,2376,尙
시,2235,施
시,2114,柴
갈,2086,葛
서문,2028,西門
진,1740,陣
단,1612,段
호,1494,胡
소,1309,邵
견,1251,甄
당,1146,唐
도,1037,陶
